Entity,Code,Year,"3.c.1 - Health worker density, by type of occupation (per 10,000 population) - SH_MED_HEAWOR - Pharmacists"
Spain,ESP,2004,13.39
Spain,ESP,2005,13.509
Spain,ESP,2006,13.63
Spain,ESP,2007,13.605
Spain,ESP,2008,13.589
Spain,ESP,2009,13.636
Spain,ESP,2010,9.19
Spain,ESP,2011,9.33
Spain,ESP,2012,10.5
Spain,ESP,2013,11.157
Spain,ESP,2014,11.729
Spain,ESP,2015,11.94
Spain,ESP,2016,12.119
Sri Lanka,LKA,2004,0.468
Sri Lanka,LKA,2007,0.447
Sri Lanka,LKA,2013,1.711
Sri Lanka,LKA,2015,0.726
Sri Lanka,LKA,2016,0.769
Sudan,SDN,2004,0.443
Sudan,SDN,2006,0.484
Sudan,SDN,2007,0.117
Sudan,SDN,2008,0.117
Sudan,SDN,2015,4.4
Suriname,SUR,2009,0.595
Suriname,SUR,2017,0.444
Swaziland,SWZ,2000,0.433
Swaziland,SWZ,2004,0.42
Swaziland,SWZ,2009,0.169
Swaziland,SWZ,2011,0.245
Sweden,SWE,2010,7.598
Sweden,SWE,2011,7.688
Sweden,SWE,2012,7.61
Sweden,SWE,2013,7.558
Sweden,SWE,2014,7.603
Sweden,SWE,2015,7.607
Switzerland,CHE,2010,5.401
Switzerland,CHE,2011,5.307
Switzerland,CHE,2012,5.416
Switzerland,CHE,2013,5.383
Switzerland,CHE,2014,5.43
Switzerland,CHE,2015,5.406
Syria,SYR,2000,5.404
Syria,SYR,2002,5.884
Syria,SYR,2003,6.207
Syria,SYR,2004,7.146
Syria,SYR,2005,7.225
Syria,SYR,2007,6.617
Syria,SYR,2008,8.157
Syria,SYR,2009,8.241
Syria,SYR,2010,7.876
Syria,SYR,2014,14.433
Syria,SYR,2016,10.1
Tajikistan,TJK,2003,1.034
Tanzania,TZA,2002,0.031
Tanzania,TZA,2012,0.069
Tanzania,TZA,2014,0.135
Thailand,THA,2001,1.079
Thailand,THA,2002,1.147
Thailand,THA,2004,1.14
Thailand,THA,2006,1.206
Thailand,THA,2007,1.199
Thailand,THA,2008,1.287
Thailand,THA,2009,1.254
Thailand,THA,2010,1.294
Thailand,THA,2015,1.781
Thailand,THA,2016,5.194
Thailand,THA,2017,4.186
Timor,TLS,2004,0.01
Timor,TLS,2007,0.038
Timor,TLS,2008,0.037
Timor,TLS,2009,0.073
Timor,TLS,2010,0.135
Timor,TLS,2011,0.133
Timor,TLS,2014,0.066
Timor,TLS,2015,0.081
Togo,TGO,2004,0.089
Togo,TGO,2007,0.018
Togo,TGO,2008,0.018
Togo,TGO,2015,0.023
Tonga,TON,2001,1.724
Tonga,TON,2009,0.386
Tonga,TON,2010,0.384
Tonga,TON,2012,0.857
Tonga,TON,2013,0.38
Trinidad and Tobago,TTO,2000,4.338
Trinidad and Tobago,TTO,2001,3.977
Trinidad and Tobago,TTO,2002,3.921
Trinidad and Tobago,TTO,2003,4.089
Trinidad and Tobago,TTO,2006,4.336
Trinidad and Tobago,TTO,2007,4.896
Trinidad and Tobago,TTO,2009,4.812
Trinidad and Tobago,TTO,2010,4.826
Trinidad and Tobago,TTO,2011,4.87
Trinidad and Tobago,TTO,2016,5.056
Tunisia,TUN,2000,2.012
Tunisia,TUN,2001,2.042
Tunisia,TUN,2002,2.078
Tunisia,TUN,2004,2.774
Tunisia,TUN,2005,2.093
Tunisia,TUN,2006,2.212
Tunisia,TUN,2010,3.041
Tunisia,TUN,2015,2.299
Tunisia,TUN,2016,2.274
Turkey,TUR,2000,3.467
Turkey,TUR,2001,3.446
Turkey,TUR,2002,3.422
Turkey,TUR,2003,3.385
Turkey,TUR,2004,3.374
Turkey,TUR,2005,3.351
Turkey,TUR,2006,3.365
Turkey,TUR,2007,3.445
Turkey,TUR,2008,3.518
Turkey,TUR,2009,3.533
Turkey,TUR,2010,3.665
Turkey,TUR,2011,3.554
Turkey,TUR,2012,3.563
Turkey,TUR,2013,3.564
Turkey,TUR,2014,3.531
Turkey,TUR,2015,3.517
Turkmenistan,TKM,2002,3.527
Turkmenistan,TKM,2010,1.824
Turkmenistan,TKM,2011,1.714
Turkmenistan,TKM,2012,1.688
Turkmenistan,TKM,2013,1.688
Turkmenistan,TKM,2014,1.694
Tuvalu,TUV,2002,1.042
Tuvalu,TUV,2003,2.041
Tuvalu,TUV,2008,0.971
Tuvalu,TUV,2014,2.752
Uganda,UGA,2004,0.078
Uganda,UGA,2005,0.057
Uganda,UGA,2012,0.151
Uganda,UGA,2015,0.011
Ukraine,UKR,2010,0.397
Ukraine,UKR,2011,0.385
Ukraine,UKR,2012,0.395
Ukraine,UKR,2013,0.414
Ukraine,UKR,2014,0.339
United Arab Emirates,ARE,2000,4.339
United Arab Emirates,ARE,2001,4.549
United Arab Emirates,ARE,2002,4.599
United Arab Emirates,ARE,2003,4.883
United Arab Emirates,ARE,2004,4.907
United Arab Emirates,ARE,2005,6.092
United Arab Emirates,ARE,2006,6.948
United Arab Emirates,ARE,2007,5.579
United Arab Emirates,ARE,2008,4.498
United Arab Emirates,ARE,2009,6.759
United Arab Emirates,ARE,2010,1.847
United Arab Emirates,ARE,2012,1.982
United Arab Emirates,ARE,2013,4.198
United Arab Emirates,ARE,2014,6.182
United Arab Emirates,ARE,2015,5.732
United Arab Emirates,ARE,2016,7.412
United Kingdom,GBR,2010,6.42
United Kingdom,GBR,2011,7.529
United Kingdom,GBR,2012,7.74
United Kingdom,GBR,2013,7.938
United Kingdom,GBR,2014,8.192
United Kingdom,GBR,2015,8.315
United Kingdom,GBR,2016,8.594
United Kingdom,GBR,2017,8.803
United States,USA,2000,8.853
United States,USA,2005,8.785
United States,USA,2010,9.26
United States,USA,2015,10.515
Uzbekistan,UZB,2010,0.375
Uzbekistan,UZB,2011,0.372
Uzbekistan,UZB,2012,0.378
Uzbekistan,UZB,2013,0.375
Uzbekistan,UZB,2014,0.408
Vanuatu,VUT,2008,0.089
Vanuatu,VUT,2012,1.172
Vietnam,VNM,2001,0.737
Vietnam,VNM,2002,2.938
Vietnam,VNM,2005,1.79
Vietnam,VNM,2006,1.911
Vietnam,VNM,2007,2.103
Vietnam,VNM,2008,2.278
Vietnam,VNM,2009,2.465
Vietnam,VNM,2010,2.656
Vietnam,VNM,2012,4.498
Vietnam,VNM,2014,3.364
Vietnam,VNM,2015,3.37
Vietnam,VNM,2016,3.354
Yemen,YEM,2004,0.462
Yemen,YEM,2010,0.428
Yemen,YEM,2014,1.035
Zambia,ZMB,2009,0.227
Zambia,ZMB,2010,0.229
Zambia,ZMB,2011,0.252
Zambia,ZMB,2012,0.278
Zambia,ZMB,2016,0.699
Zimbabwe,ZWE,2004,0.473
Zimbabwe,ZWE,2009,0.491
Zimbabwe,ZWE,2012,0.257
Zimbabwe,ZWE,2013,0.262
Zimbabwe,ZWE,2014,0.254
